title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Sousou no Frieren,葬送のフリーレン,Frieren: Beyond Journey's End,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.31,#1,#164,"1,014,878","61,559",https://cdn.myanimelist.net/r/50x70/images/anime/1015/138006.jpg?s=09c2f2dec5891d8e8fbb9fa3b23c75b4
Gintama': Enchousen,銀魂' 延長戦,Gintama: Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.02,#10,#756,"337,237","3,089",https://cdn.myanimelist.net/r/50x70/images/anime/1452/123686.jpg?s=9691ed28cdfeb56ce6881faf2adbf01e
Gintama',銀魂',Gintama Season 2,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.02,#9,#401,"578,786","8,309",https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7
Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,9.03,#8,#8,"2,970,389","217,752",https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701
Gintama: The Final,銀魂 THE FINAL,Gintama: The Very Final,Movie,1,Finished Airing,"Jan 8, 2021",,,Manga,1 hr. 44 min.,PG-13 - Teens 13 or older,9.04,#7,#1537,"162,536","4,423",https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c
Gintama°,銀魂°,Gintama Season 4,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.05,#6,#343,"654,929","17,001",https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209
Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),9.05,#5,#21,"2,397,886","60,343",https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100
One Piece Fan Letter,ONE PIECE FAN LETTER,,TV Special,1,Finished Airing,"Oct 20, 2024",,,Light novel,24 min.,PG-13 - Teens 13 or older,9.06,#4,#2431,"86,014","1,923",https://cdn.myanimelist.net/r/50x70/images/anime/1455/146229.jpg?s=229b4cd0d3b3c59fa37141dfa185798b
Steins;Gate,STEINS;GATE,Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,9.07,#3,#14,"2,659,978","193,967",https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca
Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),Manga,24 min. per ep.,R - 17+ (violence & profanity),9.1,#2,#3,"3,472,335","231,337",https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a
3-gatsu no Lion 2nd Season,3月のライオン 第2シリーズ,March Comes In Like a Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),Manga,25 min. per ep.,PG-13 - Teens 13 or older,8.91,#19,#586,"415,964","15,255",https://cdn.myanimelist.net/r/50x70/images/anime/3/88469.jpg?s=becfbf556902bc3501e06a07354b9d76
Koe no Katachi,聲の形,A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",,,Manga,2 hr. 10 min.,PG-13 - Teens 13 or older,8.93,#18,#20,"2,438,897","91,005",https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae
Gintama,銀魂,Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#144,"1,100,910","60,053",https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174
Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,Clannad: After Story,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#16,#120,"1,228,312","71,265",https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9
Fruits Basket: The Final,フルーツバスケット The Final,Fruits Basket: The Final Season,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01:30 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.96,#15,#460,"512,533","20,689",https://cdn.myanimelist.net/r/50x70/images/anime/1085/114792.jpg?s=bb4303c0804c9d5ca9fcb30b8f8e6783
Gintama.,銀魂。,Gintama Season 5,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01:35 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.98,#14,#782,"327,168","2,771",https://cdn.myanimelist.net/r/50x70/images/anime/3/83528.jpg?s=948f092dd55fb2572f38a0e21f03b642
Shiguang Dailiren,時光代理人,Link Click,ONA,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,,,23 min. per ep.,PG-13 - Teens 13 or older,8.73,#50,#594,"413,038","12,980",https://cdn.myanimelist.net/r/50x70/images/anime/1135/114867.jpg?s=048f06f7edb150d017394574a108c72c
The First Slam Dunk,THE FIRST SLAM DUNK,,Movie,1,Finished Airing,"Dec 3, 2022",,,Manga,2 hr. 4 min.,PG-13 - Teens 13 or older,8.74,#49,#3027,"59,121",847,https://cdn.myanimelist.net/r/50x70/images/anime/1745/129284.jpg?s=0a4aa56dd7a19b280e4cdd09aaad81a6
Ashita no Joe 2,あしたのジョー２,Tomorrow's Joe 2,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.74,#48,#3094,"56,706","2,937",https://cdn.myanimelist.net/r/50x70/images/anime/3/45028.jpg?s=bf58ff0c0759f78bf968a74ec535d0d2
Cowboy Bebop,カウボーイビバップ,Cowboy Bebop,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),,24 min. per ep.,R - 17+ (violence & profanity),8.75,#47,#43,"1,940,184","85,255",https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,かぐや様は告らせたい -ファーストキッスは終わらない-,Kaguya-sama: Love is War -The First Kiss That Never Ends-,Movie,1,Finished Airing,"Dec 17, 2022",,",",Manga,1 hr. 36 min.,PG-13 - Teens 13 or older,8.75,#46,#828,"311,801","2,092",https://cdn.myanimelist.net/r/50x70/images/anime/1670/130060.jpg?s=d6b458f3a59a4c5ae4a2ee526feb690f
Monogatari Series: Second Season,〈物語〉シリーズ セカンドシーズン,Monogatari Series: Second Season,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),Light novel,25 min. per ep.,R - 17+ (violence & profanity),8.76,#45,#316,"689,686","23,823",https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1
Kusuriya no Hitorigoto 2nd Season,薬屋のひとりごと 第2期,The Apothecary Diaries Season 2,TV,24,Currently Airing,"Jan 10, 2025 to ?",Winter 2025,Fridays at 23:00 (JST),Light novel,24 min. per ep.,PG-13 - Teens 13 or older,8.76,#44,#1317,"193,797","1,145",https://cdn.myanimelist.net/r/50x70/images/anime/1025/147458.jpg?s=e2679358762090e8cc8ce53c2e537422
Bocchi the Rock!,ぼっち・ざ・ろっく！,Bocchi the Rock!,TV,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,Sundays at 00:00 (JST),4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,8.76,#43,#337,"662,131","31,687",https://cdn.myanimelist.net/r/50x70/images/anime/1448/127956.jpg?s=81e0f14a54c27c6d8046fced1a046f28
Vinland Saga,ヴィンランド・サガ,,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),Manga,24 min. per ep.,R - 17+ (violence & profanity),8.76,#42,#72,"1,633,488","51,340",https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b
Sen to Chihiro no Kamikakushi,千と千尋の神隠し,Spirited Away,Movie,1,Finished Airing,"Jul 20, 2001",,,,2 hr. 4 min.,PG - Children,8.77,#40,#44,"1,924,066","33,828",https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927
Jujutsu Kaisen 2nd Season,呪術廻戦 懐玉・玉折／渋谷事変,Jujutsu Kaisen Season 2,TV,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,Thursdays at 23:56 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),8.77,#39,#138,"1,132,148","23,887",https://cdn.myanimelist.net/r/50x70/images/anime/1792/138022.jpg?s=1f89c1e9b9bf47ab767f075edf5d313f
Shingeki no Kyojin: The Final Season Part 2,進撃の巨人 The Final Season Part 2,Attack on Titan: Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00:05 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),8.76,#41,#101,"1,398,795","30,973",https://cdn.myanimelist.net/r/50x70/images/anime/1948/120625.jpg?s=53584a9c479506f8c779fb38b02d1a6d
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,Haikyu!! 3rd Season,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.77,#38,#115,"1,255,226","15,710",https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547
Boku no Kokoro no Yabai Yatsu 2nd Season,僕の心のヤバイやつ 第2期,The Dangers in My Heart Season 2,TV,13,Finished Airing,"Jan 7, 2024 to Mar 31, 2024",Winter 2024,Sundays at 01:30 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.77,#37,#1063,"242,098","5,234",https://cdn.myanimelist.net/r/50x70/images/anime/1643/138581.jpg?s=44e3cfbc795b7cb68144fecf98b6cff0
Hajime no Ippo,はじめの一歩 THE FIGHTING!,Fighting Spirit,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.78,#36,#361,"633,701","23,389",https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63
Shingeki no Kyojin: The Final Season,進撃の巨人 The Final Season,Attack on Titan: Final Season,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),8.78,#35,#33,"2,112,297","52,813",https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b
Suzumiya Haruhi no Shoushitsu,涼宮ハルヒの消失,The Disappearance of Haruhi Suzumiya,Movie,1,Finished Airing,"Feb 6, 2010",,,Light novel,2 hr. 41 min.,PG-13 - Teens 13 or older,8.59,#100,#366,"625,708","13,807",https://cdn.myanimelist.net/r/50x70/images/anime/1248/112352.jpg?s=e62fda44bb62e1b938570096c39f9d05
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,青春ブタ野郎はゆめみる少女の夢を見ない,Rascal Does Not Dream of a Dreaming Girl,Movie,1,Finished Airing,"Jun 15, 2019",,",",Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older,8.59,#99,#286,"749,231","10,542",https://cdn.myanimelist.net/r/50x70/images/anime/1613/102179.jpg?s=9b762a892eac987081bada93be8d3bdc
[Oshi no Ko] 2nd Season,【推しの子】第2期,[Oshi No Ko] Season 2,TV,13,Finished Airing,"Jul 3, 2024 to Oct 6, 2024",Summer 2024,Wednesdays at 23:00 (JST),Manga,25 min. per ep.,PG-13 - Teens 13 or older,8.6,#98,#599,"411,198","5,430",https://cdn.myanimelist.net/r/50x70/images/anime/1006/143302.jpg?s=3b0cfffd7dd2ab2df4d112fd715da6b2
Kenpuu Denki Berserk,剣風伝奇ベルセルク,Berserk,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,Wednesdays at 01:45 (JST),Manga,23 min. per ep.,R+ - Mild Nudity,8.6,#97,#307,"703,540","29,327",https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.jpg?s=9260c7baa7b55d81d9f6375b55a803e6
Hajime no Ippo: Rising,はじめの一歩 Rising,Fighting Spirit: Rising,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 01:35 (JST),Manga,22 min. per ep.,PG-13 - Teens 13 or older,8.61,#96,#933,"274,852","1,350",https://cdn.myanimelist.net/r/50x70/images/anime/6/56147.jpg?s=7e50339d044aed8909d36bb9afa331d3
Dungeon Meshi,ダンジョン飯,Delicious in Dungeon,TV,24,Finished Airing,"Jan 4, 2024 to Jun 13, 2024",Winter 2024,Thursdays at 22:30 (JST),Manga,25 min. per ep.,R - 17+ (violence & profanity),8.61,#95,#558,"437,760","8,576",https://cdn.myanimelist.net/r/50x70/images/anime/1711/142478.jpg?s=8c432fe78ec9dd1b3219f3c5faf4308f
Cyberpunk: Edgerunners,サイバーパンク エッジランナーズ,,ONA,10,Finished Airing,"Sep 13, 2022",,,,25 min. per ep.,R+ - Mild Nudity,8.61,#94,#216,"867,501","29,187",https://cdn.myanimelist.net/r/50x70/images/anime/1818/126435.jpg?s=7b294f04000f9e4b59fdae558b4b4936
Natsume Yuujinchou Roku,夏目友人帳 陸,Natsume's Book of Friends Season 6,TV,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017",Spring 2017,Wednesdays at 01:35 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.61,#93,#1310,"194,518","1,123",https://cdn.myanimelist.net/r/50x70/images/anime/6/84416.jpg?s=931f8a6bfc42adf9257eeb7641bad75e
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,劇場版メイドインアビス 深き魂の黎明,Made in Abyss: Dawn of the Deep Soul,Movie,1,Finished Airing,"Jan 17, 2020",,,Web manga,1 hr. 45 min.,R - 17+ (violence & profanity),8.61,#92,#481,"493,786","3,794",https://cdn.myanimelist.net/r/50x70/images/anime/1502/110723.jpg?s=371a6b383817649bb1d3468f03522f66
Ping Pong the Animation,ピンポン THE ANIMATION,Ping Pong the Animation,TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,Fridays at 00:50 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.62,#91,#601,"411,015","16,598",https://cdn.myanimelist.net/r/50x70/images/anime/1586/146565.jpg?s=8a68d935e9567258aa9191c07a674d81
Made in Abyss: Retsujitsu no Ougonkyou,メイドインアビス 烈日の黄金郷,Made in Abyss: The Golden City of the Scorching Sun,TV,12,Finished Airing,"Jul 6, 2022 to Sep 28, 2022",Summer 2022,Wednesdays at 22:30 (JST),Web manga,25 min. per ep.,R - 17+ (violence & profanity),8.62,#90,#491,"485,161","6,482",https://cdn.myanimelist.net/r/50x70/images/anime/1864/122519.jpg?s=17612a9ecb307994db4ced0a85774a37
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,Kaguya-sama: Love is War?,TV,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020",Spring 2020,Saturdays at 23:30 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.62,#89,#98,"1,405,984","18,887",https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f
Haikyuu!! Second Season,ハイキュー!! セカンドシーズン,Haikyu!! 2nd Season,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,Sundays at 02:58 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.62,#88,#87,"1,487,005","15,863",https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a
Haikyuu!! Movie: Gomisuteba no Kessen,劇場版ハイキュー!! ゴミ捨て場の決戦,Haikyu!! Movie: The Dumpster Battle,Movie,1,Finished Airing,"Feb 16, 2024",,",",Manga,1 hr. 24 min.,PG-13 - Teens 13 or older,8.62,#87,#1483,"169,860","1,445",https://cdn.myanimelist.net/r/50x70/images/anime/1665/140360.jpg?s=081754725b2361e973387318974b4d0f
Death Note,デスノート,Death Note,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,Wednesdays at 00:56 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),8.62,#86,#2,"4,049,943","177,986",https://cdn.myanimelist.net/r/50x70/images/anime/1079/138100.jpg?s=3e4bd9dab3fbb90bff74e3240e281d23
Bungou Stray Dogs 5th Season,文豪ストレイドッグス,Bungo Stray Dogs 5,TV,11,Finished Airing,"Jul 12, 2023 to Sep 20, 2023",Summer 2023,Wednesdays at 23:00 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),8.63,#85,#1195,"215,979","2,625",https://cdn.myanimelist.net/r/50x70/images/anime/1161/136691.jpg?s=7ede85a9ff76ae61cacf9b3320ccc512
Shiguang Dailiren: Yingdu Pian,时光代理人 英都篇,Link Click: Bridon Arc,ONA,6,Finished Airing,"Dec 27, 2024 to Jan 31, 2025",,,,32 min. per ep.,PG-13 - Teens 13 or older,8.48,#150,#3884,"36,928",281,https://cdn.myanimelist.net/r/50x70/images/anime/1496/147189.jpg?s=db30034c6190bd7816c3e62056c4f67e
Aria the Origination,ARIA The ORIGINATION,Aria the Origination,TV,13,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,Tuesdays at 02:00 (JST),Manga,24 min. per ep.,G - All Ages,8.48,#149,#1782,"134,250","4,203",https://cdn.myanimelist.net/r/50x70/images/anime/1431/132867.jpg?s=f4acceb062282a847639ee5e1af0abec
Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,Assassination Classroom Second Season,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,Fridays at 01:25 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.48,#148,#86,"1,489,381","17,714",https://cdn.myanimelist.net/r/50x70/images/anime/8/77966.jpg?s=4161bf9d25a2816af9642ead2cd3a831
One Punch Man,ワンパンマン,One Punch Man,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,Mondays at 01:05 (JST),Web manga,24 min. per ep.,R - 17+ (violence & profanity),8.49,#147,#4,"3,340,397","65,435",https://cdn.myanimelist.net/r/50x70/images/anime/12/76049.jpg?s=40b6c7dbbbb94c44675116d301150078
Mob Psycho 100,モブサイコ100,Mob Psycho 100,TV,12,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,Tuesdays at 00:00 (JST),Web manga,24 min. per ep.,PG-13 - Teens 13 or older,8.49,#146,#28,"2,175,302","50,740",https://cdn.myanimelist.net/r/50x70/images/anime/8/80356.jpg?s=1d7f8902c64d166b821e50ea68267c2a
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,劇場版 魔法少女まどか☆マギカ 叛逆の物語,Puella Magi Madoka Magica the Movie: Rebellion,Movie,1,Finished Airing,"Oct 26, 2013",,",",,1 hr. 56 min.,PG-13 - Teens 13 or older,8.49,#145,#629,"395,518","9,193",https://cdn.myanimelist.net/r/50x70/images/anime/5/54231.jpg?s=290c9412a715da372f5393aa76a8c5d6
Tian Guan Cifu Special,天官赐福特别节目,Heaven Official's Blessing Special,ONA,1,Finished Airing,"Feb 16, 2021",,,,21 min.,PG-13 - Teens 13 or older,8.5,#144,#3173,"53,800",511,https://cdn.myanimelist.net/r/50x70/images/anime/1043/110306.jpg?s=4ad346d5d71ea633f204f838891b72c7
Ousama Ranking,王様ランキング,Ranking of Kings,TV,23,Finished Airing,"Oct 15, 2021 to Mar 25, 2022",Fall 2021,Fridays at 00:55 (JST),Web manga,22 min. per ep.,PG-13 - Teens 13 or older,8.5,#143,#315,"692,988","13,179",https://cdn.myanimelist.net/r/50x70/images/anime/1347/117616.jpg?s=1fc7d9cfcad3dfca1cee2e11b5b74ef4
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,JoJo's Bizarre Adventure: Diamond Is Unbreakable,TV,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,Saturdays at 00:30 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),8.5,#142,#128,"1,177,364","40,986",https://cdn.myanimelist.net/r/50x70/images/anime/3/79156.jpg?s=9189ddeb4a702d774b985fe16f315a81
Samurai Champloo,サムライチャンプルー,Samurai Champloo,TV,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,Saturdays at 10:30 (JST),,24 min. per ep.,R - 17+ (violence & profanity),8.51,#141,#109,"1,283,171","39,143",https://cdn.myanimelist.net/r/50x70/images/anime/1370/135212.jpg?s=057b95e4f0325310cd6c3747123e7c3b
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",Winter 2004,Unknown,Manga,25 min. per ep.,R - 17+ (violence & profanity),8.51,#140,#1114,"233,056","3,196",https://cdn.myanimelist.net/r/50x70/images/anime/1646/135390.jpg?s=7e946d0e4d47a6784da3336c4977b6d5
Kimi ni Todoke 3rd Season,君に届け3RD SEASON,Kimi ni Todoke: From Me to You Season 3,ONA,5,Finished Airing,"Aug 1, 2024",,,Manga,1 hr. 6 min. per ep.,PG-13 - Teens 13 or older,8.51,#139,#2492,"82,699",648,https://cdn.myanimelist.net/r/50x70/images/anime/1617/142448.jpg?s=6abb6e40dec9e07385ba6e2a09c5b845
Kara no Kyoukai Movie 5: Mujun Rasen,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,The Garden of Sinners Chapter 5: Paradox Spiral,Movie,1,Finished Airing,"Aug 16, 2008",,,Light novel,1 hr. 54 min.,R - 17+ (violence & profanity),8.51,#138,#1049,"244,887","4,625",https://cdn.myanimelist.net/r/50x70/images/anime/4/75851.jpg?s=2b817428727b8a20d00d284b1a363ea9
Yuru Camp△ Season 2,ゆるキャン△ SEASON2,Laid-Back Camp Season 2,TV,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",Winter 2021,Thursdays at 23:00 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.51,#137,#1090,"238,101","3,101",https://cdn.myanimelist.net/r/50x70/images/anime/1255/110636.jpg?s=2b6005aafc62e746b64d224e60a5a8b4
Sora yori mo Tooi Basho,宇宙よりも遠い場所,A Place Further Than The Universe,TV,13,Finished Airing,"Jan 2, 2018 to Mar 27, 2018",Winter 2018,Tuesdays at 20:30 (JST),,23 min. per ep.,PG-13 - Teens 13 or older,8.51,#136,#447,"525,616","14,462",https://cdn.myanimelist.net/r/50x70/images/anime/6/89879.jpg?s=273f1505d409ac20eed3e0c255a2f903
Shoujo☆Kageki Revue Starlight Movie,劇場版 少女☆歌劇 レヴュースタァライト,Revue Starlight: The Movie,Movie,1,Finished Airing,"Jun 4, 2021",,,,2 hr.,PG-13 - Teens 13 or older,8.52,#135,#4910,"22,128",948,https://cdn.myanimelist.net/r/50x70/images/anime/1378/119190.jpg?s=efa94668d516b81db418e026af363dae
Major S5,メジャー,,TV,25,Finished Airing,"Jan 10, 2009 to Jun 27, 2009",Winter 2009,Saturdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.39,#200,#2689,"72,902",640,https://cdn.myanimelist.net/r/50x70/images/anime/9/75218.jpg?s=2a0ccaba4c466d690270815f23a3b650
Natsume Yuujinchou Roku Specials,夏目友人帳 陸 特別編,Natsume's Book of Friends Season 6 Specials,Special,2,Finished Airing,"Sep 27, 2017 to Oct 25, 2017",,,Manga,23 min. per ep.,PG-13 - Teens 13 or older,8.4,#199,#3298,"50,276",77,https://cdn.myanimelist.net/r/50x70/images/anime/10/87615.jpg?s=7fa0a56172c0fceaaaa8769d87d4d927
Kamisama Hajimemashita: Kako-hen,神様はじめました～過去編～,,OVA,4,Finished Airing,"Aug 20, 2015 to Aug 19, 2016",,,Manga,30 min. per ep.,PG-13 - Teens 13 or older,8.4,#198,#1436,"174,660","1,066",https://cdn.myanimelist.net/r/50x70/images/anime/3/81250.jpg?s=0f36fe7a3f5ee0bc66190c5a1feef8a1
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Kaguya-sama: Love is War,TV,12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",Winter 2019,Saturdays at 23:30 (JST),Manga,25 min. per ep.,PG-13 - Teens 13 or older,8.4,#197,#52,"1,818,814","40,708",https://cdn.myanimelist.net/r/50x70/images/anime/1295/106551.jpg?s=ea15a93e0d25bce3e6c15e2c3ddb66a1
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,ヴァイオレット・エヴァーガーデン 外伝 -永遠と自動手記人形-,Violet Evergarden: Eternity and the Auto Memory Doll,Movie,1,Finished Airing,"Sep 6, 2019",,,Light novel,1 hr. 31 min.,PG-13 - Teens 13 or older,8.41,#196,#538,"447,424","1,656",https://cdn.myanimelist.net/r/50x70/images/anime/1667/112943.jpg?s=7427319acfcda03bee52afb64700af90
Shingeki no Kyojin: Kuinaki Sentaku,進撃の巨人 悔いなき選択,Attack on Titan: No Regrets,OVA,2,Finished Airing,"Dec 9, 2014 to Apr 9, 2015",,,,27 min. per ep.,R - 17+ (violence & profanity),8.41,#195,#439,"536,866","2,005",https://cdn.myanimelist.net/r/50x70/images/anime/8/69497.jpg?s=a8c7a9cf76d4a6e498a5cb725b9b130c
