title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,Re:ゼロから始める異世界生活 Memory Snow,Re:ZERO -Starting Life in Another World- Memory Snow,Movie,1,Finished Airing,"Oct 6, 2018",,,Light novel,1 hr.,PG-13 - Teens 13 or older,7.57,#1686,#837,"309,776",644,https://cdn.myanimelist.net/r/50x70/images/anime/1081/95707.jpg?s=19503b1d80004b7842e6a2e4fb26fd11
Pretty Rhythm: Rainbow Live,プリティーリズム・レインボーライブ,,TV,51,Finished Airing,"Apr 6, 2013 to Mar 29, 2014",Spring 2013,Saturdays at 10:00 (JST),,21 min. per ep.,PG - Children,7.57,#1685,#5837,"14,262",201,https://cdn.myanimelist.net/r/50x70/images/anime/8/73957.jpg?s=ae314aa584d04b0bc0c471c24dde38cb
No.6,NO.6［ナンバー・シックス］,No. 6,TV,11,Finished Airing,"Jul 8, 2011 to Sep 16, 2011",Summer 2011,Fridays at 01:15 (JST),,23 min. per ep.,R - 17+ (violence & profanity),7.55,#1750,#537,"447,847","7,414",https://cdn.myanimelist.net/r/50x70/images/anime/1474/90768.jpg?s=255da4d2ae0b14b076698202c8ba16e5
New Game!,NEW GAME!,New Game!,TV,12,Finished Airing,"Jul 4, 2016 to Sep 19, 2016",Summer 2016,Mondays at 22:30 (JST),4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1748,#548,"441,887","2,895",https://cdn.myanimelist.net/r/50x70/images/anime/9/80417.jpg?s=eaf9c165ad46a5c8c2b694238941ad7d
Nanatsu no Taizai: Imashime no Fukkatsu,七つの大罪 戒めの復活,The Seven Deadly Sins: Revival of the Commandments,TV,24,Finished Airing,"Jan 13, 2018 to Jun 30, 2018",Winter 2018,Saturdays at 06:30 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1748,#134,"1,160,965","3,717",https://cdn.myanimelist.net/r/50x70/images/anime/11/90089.jpg?s=df7ee18d8c5f0bb4cb45308cba135c0e
Murai no Koi,村井の恋,Murai in Love,ONA,12,Finished Airing,"Sep 4, 2024 to Nov 20, 2024",,,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1746,#5511,"16,523",84,https://cdn.myanimelist.net/r/50x70/images/anime/1260/144801.jpg?s=b767c5f15de14b07ec47e77f04e860c9
Moyashimon,もやしもん,,TV,11,Finished Airing,"Oct 12, 2007 to Dec 21, 2007",Fall 2007,Fridays at 00:45 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1745,#2636,"75,074",263,https://cdn.myanimelist.net/r/50x70/images/anime/5/37533.jpg?s=cdfd0817ded8e6343d4cf7766b5dc7d6
Konjiki no Gash Bell!!,金色のガッシュベル!!,Zatch Bell!,TV,150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",Spring 2003,Sundays at 09:00 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1744,#1814,"131,679","1,310",https://cdn.myanimelist.net/r/50x70/images/anime/1151/125951.jpg?s=c33a0b1c807c2bd181e802932ab02ad1
Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,キノの旅 -the Beautiful World- 塔の国 -Free Lance-,Kino's Journey: Tower Country,Special,1,Finished Airing,"Oct 19, 2005",,,Light novel,14 min.,PG-13 - Teens 13 or older,7.55,#1743,#3744,"39,871",28,https://cdn.myanimelist.net/r/50x70/images/anime/11/62873.jpg?s=db0a7c168b3fd8f21ad9fc4dd6dc73d7
Kiniro Mosaic: Thank You!!,劇場版きんいろモザイク Thank you!!,,Movie,1,Finished Airing,"Aug 20, 2021",,,4-koma manga,1 hr. 21 min.,PG-13 - Teens 13 or older,7.55,#1742,#5818,"14,379",32,https://cdn.myanimelist.net/r/50x70/images/anime/1505/116892.jpg?s=d4d1d0b6903297358c342e5a001d6c61
Kaitou Saint Tail,怪盗セイント・テール,Mysterious Thief Saint Tail,TV,43,Finished Airing,"Oct 12, 1995 to Sep 12, 1996",Fall 1995,Thursdays at 19:30 (JST),Manga,22 min. per ep.,G - All Ages,7.55,#1742,#4880,"22,490",223,https://cdn.myanimelist.net/r/50x70/images/anime/6/46607.jpg?s=da6ce63718060b9e2161119667ab9b1e
K: Return of Kings,K RETURN OF KINGS,K: Return of Kings,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",Fall 2015,Saturdays at 01:55 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1740,#744,"340,304","1,249",https://cdn.myanimelist.net/r/50x70/images/anime/6/76198.jpg?s=59f81c9d41968e7890b24bd63dad3b74
Juan Siliang,眷思量,The Island of Siliang,ONA,15,Finished Airing,"Jun 14, 2021 to Sep 13, 2021",,,,20 min. per ep.,PG-13 - Teens 13 or older,7.55,#1739,#10796,"2,749",57,https://cdn.myanimelist.net/r/50x70/images/anime/1745/116295.jpg?s=24eee5c68f4bf332ec448643d1a40689
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,最弱テイマーはゴミ拾いの旅を始めました。,The Weakest Tamer Began a Journey to Pick Up Trash,TV,12,Finished Airing,"Jan 12, 2024 to Mar 29, 2024",Winter 2024,Fridays at 23:00 (JST),Light novel,23 min. per ep.,PG-13 - Teens 13 or older,7.56,#1739,#2007,"115,089",586,https://cdn.myanimelist.net/r/50x70/images/anime/1280/138474.jpg?s=4866fb13509cec3ee02223b8a04897de
Radiant 2nd Season,ラディアン 第2シリーズ,RADIANT Season 2,TV,21,Finished Airing,"Oct 2, 2019 to Feb 26, 2020",Fall 2019,Wednesdays at 19:25 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.56,#1738,#2015,"114,831",259,https://cdn.myanimelist.net/r/50x70/images/anime/1974/108398.jpg?s=1b6d3e06bb7a7ba044d52648121f5885
